datetime,current_precip,forecast_precip,flood_index_mean
2025-09-05 09:56:58,0.16,0.03,0.04109117016196251
2025-09-05 10:01:59,0.12,0.03,0.04109117016196251
2025-09-05 10:04:43,0.12,0.03,0.04109117016196251
2025-09-05 10:08:26,0.16,0.03,0.02510617859661579
2025-09-05 10:12:03,0.16,0.03,0.02510617859661579
2025-09-05 10:18:13,0.16,0.03,0.1520836835056038
2025-09-05 10:27:13,0.16,0.03,0.0911092460155487
2025-09-05 10:31:28,0.16,0.03,0.04109117016196251,0.0,0.0
1431.9535648148149,89.6928482055664,8.64630787037037,5.47271728515625,0.16,0.03,0.0,0.0,0.04109117016196251,0.1491982787847519
1431.9535648148149,89.6928482055664,8.64630787037037,5.47271728515625,0.16,0.03,0.0,0.0,0.04109117016196251,0.1491982787847519
